711 -1.9975671  0.99938724 163
712 -1.9975528  0.99938367 164
713 -1.9975562  0.99938454 164
714 -1.9975597  0.9993854 164
715 -1.9975631  0.99938626 164
716 -1.9975665  0.99938712 164
717 -1.9975699  0.99938797 164
718 -1.9975733  0.99938882 164
719 -1.9975766  0.99938967 164
720 -1.99758  0.99939052 164
721 -1.9975834  0.99939137 164
722 -1.997581  0.99939077 165
723 -1.9975624  0.99938615 166
724 -1.9975658  0.999387 166
725 -1.9975692  0.99938784 166
726 -1.9975543  0.99938414 168
727 -1.9975444  0.99938165 169
728 -1.9975325  0.99937869 170
729 -1.9975359  0.99937954 170
730 -1.9975392  0.99938039 170
731 -1.9975426  0.99938124 170
732 -1.997546  0.99938209 170
733 -1.9975493  0.99938293 170
734 -1.9975527  0.99938377 170
735 -1.9975518  0.99938357 172
736 -1.9975552  0.99938441 172
737 -1.9975585  0.99938524 172
738 -1.9975618  0.99938608 172
739 -1.9975651  0.99938691 172
740 -1.9975684  0.99938774 172
741 -1.9975717  0.99938856 172
742 -1.9975749  0.99938939 172
743 -1.9975782  0.99939021 172
744 -1.9975815  0.99939103 172
745 -1.9975847  0.99939185 172
746 -1.9975879  0.99939266 172
747 -1.9975912  0.99939347 172
748 -1.9975944  0.99939428 172
749 -1.9975976  0.99939509 172
750 -1.9976008  0.9993959 172
751 -1.997604  0.9993967 172
752 -1.9976072  0.99939751 172
753 -1.9976075  0.99939759 173
754 -1.9975842  0.99939176 173
755 -1.9975809  0.99939094 174
756 -1.9975841  0.99939175 174
757 -1.9975873  0.99939255 174
758 -1.9975904  0.99939335 174
759 -1.9975936  0.99939415 174
760 -1.9975968  0.99939495 174
761 -1.9975999  0.99939575 174
762 -1.9976031  0.99939654 174
763 -1.9976062  0.99939733 174
764 -1.9976094  0.99939812 174
765 -1.9976125  0.99939891 174
766 -1.9976156  0.99939969 174
767 -1.9976187  0.99940047 174
768 -1.9976212  0.99940109 175
769 -1.9975982  0.99939537 175
770 -1.9975754  0.99938966 175
771 -1.9975526  0.99938397 175
772 -1.9975299  0.99937829 175
773 -1.9975072  0.99937262 175
774 -1.9974981  0.99937035 176
775 -1.9975013  0.99937116 176
776 -1.9975045  0.99937197 176
777 -1.9975077  0.99937278 176
778 -1.9975109  0.99937359 176
779 -1.9975141  0.99937439 176
780 -1.9975173  0.99937519 176
781 -1.9975205  0.99937599 176
782 -1.9975237  0.99937679 176
783 -1.9975268  0.99937759 176
784 -1.99753  0.99937838 176
785 -1.9975331  0.99937917 176
786 -1.9975302  0.99937844 177
787 -1.9975315  0.99937878 178
788 -1.9975346  0.99937957 178
789 -1.9975378  0.99938035 178
790 -1.9975409  0.99938114 178
791 -1.997544  0.99938192 178
792 -1.9975471  0.9993827 178
793 -1.9975502  0.99938348 178
794 -1.9975505  0.99938356 179
795 -1.9975482  0.999383 180
796 -1.9975513  0.99938378 180
797 -1.9975544  0.99938455 180
798 -1.9975575  0.99938532 180
799 -1.9975605  0.99938609 180
800 -1.9975636  0.99938686 180
801 -1.9975666  0.99938762 180
802 -1.9975696  0.99938839 180
803 -1.9975616  0.99938639 181
804 -1.9975397  0.99938092 183
805 -1.997518  0.99937548 183
806 -1.9975017  0.99937143 184
807 -1.9975048  0.99937221 184
808 -1.9975079  0.99937299 184
809 -1.997511  0.99937376 184
810 -1.9975052  0.99937231 185
811 -1.9974836  0.99936692 185
812 -1.99748  0.99936603 186
813 -1.9974831  0.99936681 186
814 -1.9974862  0.99936758 186
815 -1.9974893  0.99936836 186
816 -1.9974923  0.99936913 186
817 -1.9974954  0.99936991 186
818 -1.9974985  0.99937068 186
819 -1.9975015  0.99937144 186
820 -1.9975046  0.99937221 186
821 -1.9975076  0.99937298 186
822 -1.9975106  0.99937374 186
823 -1.9975137  0.9993745 186
824 -1.9974881  0.99936654 190
825 -1.9974911  0.9993673 190
826 -1.9974942  0.99936807 190
827 -1.9974972  0.99936883 190
828 -1.9975002  0.9993696 190
829 -1.9975032  0.99937036 190
